"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Jumper2","SULLINS_GRPB031VWVN","37.8206mm","45.8978mm","39.0906mm","45.8978mm","39.0906mm","45.8978mm","T","180.00","Family"
"IC11","SOT95P280X145-5N","71.501mm","-4.8087mm","71.501mm","-4.8087mm","70.201mm","-3.8586mm","T","360.00","SN74LVC1G14DBVR"
"LD1","LED_OSRAM_LGL29K","77.6268mm","-19.05mm","77.6268mm","-19.05mm","78.4268mm","-19.05mm","T","180.00","Green"
"R24","RESC1608X55N","74.401mm","-19.05mm","74.401mm","-19.05mm","73.601mm","-19.05mm","T","360.00","160"
"C56","CAPC1608X87N","74.8284mm","-4.6563mm","74.8284mm","-4.6563mm","74.8284mm","-3.8563mm","T","270.00","100nF"
"TP9","NICOMATIC_C12000B","40.64mm","27.3304mm","40.64mm","27.3304mm","41.64mm","27.3304mm","T","180.00","Test Point"
"L7","INDC2012X105N","41.3512mm","31.7246mm","41.3512mm","31.7246mm","42.2512mm","31.7246mm","T","180.00","75R@100MHz"
"L8","INDC2012X105N","36.0172mm","29.616mm","36.0172mm","29.616mm","36.0172mm","30.516mm","T","270.00","75R@100MHz"
"TP10","NICOMATIC_C12000B","58.928mm","-17.0688mm","58.928mm","-17.0688mm","58.928mm","-18.0688mm","T","90.00","Test Point"

